Brand,Model,Fuel Type,Fuel Consumption,Engine volume (L),Power (PS),Torque (N*m),0-100 km/h (s),Max speed (km/h),Length (mm),Width (mm),Height (mm),Weight (kg)
AC,3.5 i V8 32V Turbo (354 Hp),Petrol (Gasoline),20.0,3.506,354,407,5.5,250,4420,1870,1300,1510
AC,4.6 i V8 32V (326 Hp),Petrol (Gasoline),15.1,4.601,326,427,5.7,250,4420,1870,1300,1510
AC,3.5 i V8 32V Turbo (354 Hp),Petrol (Gasoline),20.0,3.506,354,407,5.6,250,4660,1890,1340,1615
AC,4.6 i V8 32V (326 Hp),Petrol (Gasoline),15.1,4.601,326,427,6.1,250,4660,1890,1340,1615
AC,4.9 i V8 (228 Hp),Petrol (Gasoline),17.0,4.942,228,407,5.2,215,4155,1745,1230,1155
AC,4.9 i V8 (250 Hp),Petrol (Gasoline),18.0,4.942,250,407,5.2,250,4115,1735,1245,980
AC,4.9 i V8 Superblower (326 Hp),Petrol (Gasoline),15.7,4.942,326,522,4.2,250,4200,1745,1200,1160
AC,4.9 V8 (370 Hp),Petrol (Gasoline),18.0,4.942,370,579,5.2,215,4115,1735,1245,980
AC,5.0 V8 (225 Hp),Petrol (Gasoline),12.8,4.942,225,579,5.3,250,4200,1746,1200,980
AC,5.0 V8 (370 Hp),Petrol (Gasoline),14.1,4.942,370,579,5.3,250,4200,1746,1200,900
Daihatsu,1.5 (103 Hp),Petrol (Gasoline),8.9,1.495,103,132,10.8,170,3800,1690,1635,1035
Daihatsu,1.5 (103 Hp) Eco 4WD,Petrol (Gasoline),9.0,1.495,103,132,11.9,168,3800,1690,1635,1100
Daihatsu,1.5 (103 Hp)A,Petrol (Gasoline),9.5,1.495,103,132,13.7,164,3800,1690,1635,1050
Daihatsu,1.3 (91 Hp),Petrol (Gasoline),8.2,1.298,91,120,11.5,169,3800,1690,1635,1025
Daihatsu,1.6 16V (99 Hp),Petrol (Gasoline),7.7,1.59,99,138,9.8,180,4350,1660,1385,1050
Daihatsu,0.7 i 16V Turbo (64 Hp),Petrol (Gasoline),7.0,0.659,64,110,11.7,170,3395,1475,1245,840
Daihatsu,1.3 i 16V (87 Hp),Petrol (Gasoline),7.7,1.298,87,120,9.5,180,3395,1475,1245,850
Daihatsu,1.5 i 16V (105 Hp),Petrol (Gasoline),9.7,1.495,105,140,11.9,160,4055,1695,1740,1150
Daihatsu,1.5 i 16V 4WD (105 Hp),Petrol (Gasoline),9.8,1.495,105,140,14.0,160,4055,1675,1740,1200
Daihatsu,1.3 i 16V 4WD (86 Hp),Petrol (Gasoline),9.4,1.298,86,120,16.1,145,3845,1555,1695,1125
Daihatsu,1.3 i 16V 4WD Turbo (140 Hp),Petrol (Gasoline),9.4,1.298,140,177,16.6,145,3845,1555,1695,1045
Daihatsu,1.0 i (58 Hp),Petrol (Gasoline),6.0,0.989,58,91,12.2,160,3410,1475,1500,740
Daihatsu,1.0 i (L701) (56 Hp),Petrol (Gasoline),6.1,0.989,56,88,12.8,140,3410,1475,1420,720
Daihatsu,0.8 (42 Hp),Petrol (Gasoline),6.8,0.847,42,67,17.6,135,3310,1395,1430,640
Daihatsu,0.8 i (44 Hp),Petrol (Gasoline),6.5,0.847,44,67,15.6,135,3310,1395,1440,630
Daihatsu,2.8 TD (98 Hp),Diesel,11.1,2.765,98,245,18.1,135,3840,1690,1850,1620
Daihatsu,2.8 TD (98 Hp),Diesel,11.1,2.765,98,245,18.1,135,3840,1780,1850,1620
Daihatsu,1.0 i (58 Hp),Petrol (Gasoline),6.0,0.989,58,91,12.2,160,3400,1475,1500,1200
Daihatsu,2.0 i 16V (131 Hp),Petrol (Gasoline),12.5,1.998,131,181,11.0,175,4435,1695,1855,950
Daihatsu,1.0 i 12V (69 Hp),Petrol (Gasoline),6.1,0.998,69,94,13.5,160,3600,1655,1550,890
Daihatsu,1.3 i 16V (87 Hp),Petrol (Gasoline),7.5,1.298,87,120,10.9,170,3600,1655,1550,940
Daihatsu,1.3 i 4WD (87 Hp),Petrol (Gasoline),8.0,1.298,87,120,12.0,165,3600,1665,1550,980
Daihatsu,1.0 i 12V (56 Hp),Petrol (Gasoline),6.7,0.989,56,88,17.2,140,3675,1595,1450,810
Daihatsu,1.3 i 16V (102 Hp),Petrol (Gasoline),7.6,1.298,102,120,9.6,180,3675,1595,1450,850
Daihatsu,0.8 i 12V (42 Hp),Petrol (Gasoline),7.1,0.847,42,67,18.0,131,3310,1395,1695,755
Daihatsu,1.0 i 12V (56 Hp),Petrol (Gasoline),6.5,0.989,56,88,12.8,130,3410,1475,1695,815
Daihatsu,1.6 i 16V (95 Hp),Petrol (Gasoline),12.4,1.589,95,128,13.3,150,3770,1590,1720,1220
Daihatsu,1.6 i 16V (95 Hp),Petrol (Gasoline),12.4,1.589,95,128,13.3,150,3785,1635,1720,1325
Daihatsu,1.0 i 12V (59 Hp),Petrol (Gasoline),6.9,0.989,59,88,15.4,150,3765,1620,1550,875
Daihatsu,1.3 i 16V (87 Hp),Petrol (Gasoline),7.8,1.298,87,120,10.3,175,3765,1620,1550,965
Daihatsu,1.3 i 16V (90 Hp) 2WD,Petrol (Gasoline),6.9,1.297,90,123,15.4,150,3765,1620,1550,875
Daihatsu,1.3 i 16V Allrad (87 Hp),Petrol (Gasoline),8.3,1.298,87,120,11.1,170,3765,1620,1550,1010
Daihatsu,1.3 i 16V Turbo (129 Hp),Petrol (Gasoline),9.4,1.298,129,170,8.4,180,3765,1625,1565,935
Daihatsu,1.3i 16V SX (84 Hp),Petrol (Gasoline),8.9,1.296,84,105,11.0,170,4085,1620,1390,830
Daihatsu,1.5 i 16V SX 4WD (90 Hp),Petrol (Gasoline),8.1,1.499,90,119,10.8,170,4085,1620,1390,935
Daihatsu,1.6 i 16V (105 Hp),Petrol (Gasoline),8.0,1.59,105,134,9.6,185,4085,1620,1390,875
Daihatsu,1.3 i TS (84 Hp),Petrol (Gasoline),8.9,1.296,84,105,11.0,170,3780,1620,1390,830
Daihatsu,1.5 i 16V (90 Hp),Petrol (Gasoline),8.1,1.499,90,119,10.8,170,3780,1620,1390,840
Daihatsu,1.6 GTi (105 Hp),Petrol (Gasoline),8.0,1.59,105,134,9.6,185,3750,1620,1390,835
Jaguar,2.0 TDi (130 Hp),Diesel,7.5,1.998,130,330,9.9,201,4672,1789,1430,1500
Jaguar,2.1 i V6 24V (156 Hp),Petrol (Gasoline),12.7,2.099,156,196,9.4,210,4672,1789,1430,1450
Jaguar,2.2 D (155 Hp),Diesel,8.3,2.198,155,360,8.9,220,4672,1789,1430,1502
Jaguar,2.5 i V6 24V (196 Hp) Automatic,Petrol (Gasoline),15.0,2.495,196,241,8.9,220,4672,1789,1430,1570
Jaguar,3.0 i V6 24V (231 Hp),Petrol (Gasoline),14.8,2.968,231,279,7.0,235,4672,1789,1430,1570
Jaguar,2.0 TDi (130 Hp),Diesel,7.8,1.998,130,330,10.2,198,4716,1789,1483,1575
Jaguar,2.1 i V6 (156 Hp) Sport,Petrol (Gasoline),12.9,2.099,156,196,9.6,207,4716,1789,1483,1515
Jaguar,2.2 D (155 Hp),Diesel,8.4,2.198,155,360,9.3,215,4716,1789,1483,1575
